唐津焼,fromCluster,0.8250,4.0,3.5088,唐津焼き, 唐津, 唐津焼, 唐津焼の茶碗
陶芸体験,fromCluster,0.8583,12.0,10.5263,陶芸体験,窯,陶芸,陶芸教室,窯元,粘土
作品,fromCluster,0.9250,12.0,10.5263,作品,作品の仕上がり,作品の作り方,作品の仕上げ,作品作り
体験,fromCluster,0.9250,4.0,3.5088,体験,初体験
ろくろ,fromCluster,0.9000,4.0,3.5088,ろくろ, ろくろ体験
電動ろくろ,fromCluster,0.7667,3.0,2.6316,電動ろくろ
出来上がり,fromCluster,0.8400,5.0,4.386,出来上がり,仕上がり,焼き上がり
絵付け,fromCluster,0.8286,7.0,6.1404,絵付け,絵付
写真,fromCluster,0.9250,4.0,3.5088,写真,写真サービス
旅,fromCluster,0.9000,3.0,2.6316,旅の思い出, 旅の土産
先生,fromCluster,0.9200,5.0,4.386,先生,イケメン先生
教え方,fromEntity,0.9400,5.0,4.386
自然,fromEntity,0.8333,3.0,2.6316
