参拝,fromCluster,0.4800,5.0,2.3041,参拝,参拝客,参拝者
参道,fromCluster,0.3125,8.0,3.6866,参道,裏参道,表参道
本殿,fromCluster,0.4000,11.0,5.0691,本殿,拝殿
鳥居,fromCluster,0.6000,3.0,1.3825,鳥居, 浜辺の鳥居
神主さん,fromCluster,0.7556,9.0,4.1475,神主さん,神職さん,神主,神様
神社,fromCluster,0.7000,16.0,7.3733,神社,田舎の神社
宮司,fromCluster,0.8000,4.0,1.8433,宮司, 宮司さんの奥様, 宮司さん
茅の輪くぐり,fromCluster,0.7667,12.0,5.53,茅の輪くぐり,茅の輪っか,茅の輪,小さな茅の輪,小さなかやの輪,魔除けの芽の輪,かやの輪くぐりのイベント,芽の輪くぐり,輪くぐり,茅の輪くぐりの神事
海水浴,fromCluster,0.5667,3.0,1.3825,海水浴場, 海水浴
展望台,fromCluster,0.6556,9.0,4.1475,展望台,展望所
丘陵地帯,fromCluster,0.6000,3.0,1.3825,小高い丘, 高台, 丘の上
駐車場,fromCluster,0.3333,3.0,1.3825,駐車場, 簡易駐車場
無病息災,fromCluster,0.9000,3.0,1.3825,無病息災, 無病息災の祈願お守り
祝詞,fromCluster,0.4000,4.0,1.8433,祝詞,祝詩
石段,fromCluster,0.1286,7.0,3.2258,石段,階段
雰囲気,fromCluster,0.8250,4.0,1.8433,雰囲気,空気
交通手段,fromCluster,0.4333,3.0,1.3825,車, 車で行く
御朱印,fromCluster,0.7500,4.0,1.8433,御朱印,御朱印帳
森,fromEntity,0.4250,4.0,1.8433
